DATE,XTEXVA01IDM667S
1990-01-01,2006168394.40719
1990-02-01,1976497850.5666199
1990-03-01,2080578222.6148102
1990-04-01,1905334366.5693202
1990-05-01,1808778777.43682
1990-06-01,1775918493.28346
1990-07-01,1801677115.54859
1990-08-01,2050879888.57037
1990-09-01,2553867831.86755
1990-10-01,2469433493.31103
1990-11-01,2607847516.8435597
1990-12-01,2533555638.44483
1991-01-01,2684323640.75563
1991-02-01,2529448607.35981
1991-03-01,2162114116.76512
1991-04-01,2371201439.28589
1991-05-01,2384198447.5964
1991-06-01,2488760596.66015
1991-07-01,2497035110.21136
1991-08-01,2352313131.54108
1991-09-01,2374980836.82044
1991-10-01,2382576771.7595
1991-11-01,2368441498.4221597
1991-12-01,2547796068.16714
1992-01-01,2481209973.27252
1992-02-01,2684421308.86458
1992-03-01,2658775061.61776
1992-04-01,2498143084.76968
1992-05-01,2758892357.48327
1992-06-01,2699674224.8058
1992-07-01,2793830344.19186
1992-08-01,2846717195.7381396
1992-09-01,2749773028.10212
1992-10-01,3268725690.05358
1992-11-01,3261169560.1564603
1992-12-01,3148627528.97434
1993-01-01,3225269264.29431
1993-02-01,3103146619.63859
1993-03-01,3013653947.96816
1993-04-01,3086738029.55895
1993-05-01,3179039500.80866
1993-06-01,2982685090.83747
1993-07-01,2996623706.23914
1993-08-01,3042871556.60406
1993-09-01,2976689125.77213
1993-10-01,3080324311.7882004
1993-11-01,3137010563.92141
1993-12-01,3006060006.95349
1994-01-01,2869417127.68546
1994-02-01,3006509631.37927
1994-03-01,3035302506.06248
1994-04-01,3297854648.62962
1994-05-01,3237779370.8039603
1994-06-01,3563403576.00663
1994-07-01,3509215460.4769397
1994-08-01,3456944209.28952
1994-09-01,3360964227.15457
1994-10-01,3495705134.6613503
1994-11-01,3562627164.50247
1994-12-01,3584368401.5973997
1995-01-01,3477002176.28713
1995-02-01,3688023450.24918
1995-03-01,3483833340.61961
1995-04-01,3623326933.5904403
1995-05-01,3814425042.57528
1995-06-01,3824688657.46497
1995-07-01,3763862030.45996
1995-08-01,3801282055.0419397
1995-09-01,3841809153.8325696
1995-10-01,3709631350.35104
1995-11-01,4000600238.1007695
1995-12-01,4352024249.67189
1996-01-01,3807580251.30419
1996-02-01,3952425148.3196797
1996-03-01,4024724824.5272403
1996-04-01,4189738599.47648
1996-05-01,4064538297.8899593
1996-06-01,4202047650.5051203
1996-07-01,3974340617.72439
1996-08-01,4191804259.66194
1996-09-01,4222999869.57161
1996-10-01,4218602200.89129
1996-11-01,4422064224.56157
1996-12-01,4470486139.78592
1997-01-01,4488210874.25204
1997-02-01,4389037210.94952
1997-03-01,4148339146.7949796
1997-04-01,4341821553.10314
1997-05-01,4585953886.31691
1997-06-01,4389868299.37677
1997-07-01,4470976607.3788395
1997-08-01,4599042340.78123
1997-09-01,4546304974.7447195
1997-10-01,4304046360.05721
1997-11-01,4700452333.298059
1997-12-01,4459607453.16657
1998-01-01,4433267462.57242
1998-02-01,4105232413.3416195
1998-03-01,4573223328.89267
1998-04-01,3787047911.4341598
1998-05-01,3978992527.37529
1998-06-01,4458590289.02321
1998-07-01,4457766255.64931
1998-08-01,4001166981.93825
1998-09-01,3872760822.7744203
1998-10-01,3651407494.92467
1998-11-01,3857865881.1319604
1998-12-01,3713110178.37414
1999-01-01,3257046729.01174
1999-02-01,3440937308.91052
1999-03-01,3924407364.4525204
1999-04-01,4021779763.5254602
1999-05-01,4099238036.01147
1999-06-01,3574855375.3725
1999-07-01,4158069259.22072
1999-08-01,4476626010.184629
1999-09-01,4383495721.52374
1999-10-01,4470771347.68835
1999-11-01,4419784011.10217
1999-12-01,4275196160.3997602
2000-01-01,4739941906.11128
2000-02-01,5146122604.44627
2000-03-01,4908641935.508
2000-04-01,5277789728.21336
2000-05-01,4830119642.75805
2000-06-01,5311674656.52341
2000-07-01,5343159836.73436
2000-08-01,5347053304.41958
2000-09-01,5634383724.54
2000-10-01,5313702289.25638
2000-11-01,5211556357.90205
2000-12-01,5085375163.11626
2001-01-01,5170573665.71389
2001-02-01,5099139590.94786
2001-03-01,5220651148.4122
2001-04-01,5001976212.402141
2001-05-01,4817947560.080501
2001-06-01,4857267315.3387
2001-07-01,4774761515.59293
2001-08-01,4915725037.52411
2001-09-01,4290403433.8810606
2001-10-01,4277561364.4902997
2001-11-01,3884972859.3443904
2001-12-01,4109594336.6827602
2002-01-01,4318445400.900439
2002-02-01,4515753341.099859
2002-03-01,4573063779.40988
2002-04-01,4911242718.451699
2002-05-01,4688043100.77948
2002-06-01,5152522091.95928
2002-07-01,4860544749.80194
2002-08-01,4776996051.52814
2002-09-01,5026287720.340329
2002-10-01,5044096788.37537
2002-11-01,4476108140.3032
2002-12-01,4694167946.85258
2003-01-01,5274361473.15506
2003-02-01,5358944055.73448
2003-03-01,5199629169.60758
2003-04-01,5206053258.308821
2003-05-01,4964042603.2577
2003-06-01,5304452700.523439
2003-07-01,5122990596.93644
2003-08-01,4921780194.09206
2003-09-01,4898640208.81341
2003-10-01,4801241396.97818
2003-11-01,5028251639.04796
2003-12-01,4998668757.91131
2004-01-01,5370449743.86301
2004-02-01,5318704957.32238
2004-03-01,5022325043.91718
2004-04-01,5428836268.089829
2004-05-01,5642513594.219339
2004-06-01,5887969618.25547
2004-07-01,5857628821.01779
2004-08-01,6205665776.640921
2004-09-01,7018426894.352059
2004-10-01,7146919531.55063
2004-11-01,6120408564.46438
2004-12-01,6336514955.92383
2005-01-01,6590066805.61878
2005-02-01,6871627056.728311
2005-03-01,7262789202.81985
2005-04-01,7052669013.76692
2005-05-01,7173643818.75737
2005-06-01,6849200545.26952
2005-07-01,7090472272.46282
2005-08-01,7001577146.926109
2005-09-01,7302090386.779321
2005-10-01,7680450585.50707
2005-11-01,6884501520.09104
2005-12-01,7838885335.130919
2006-01-01,8041135207.693801
2006-02-01,7969966422.239281
2006-03-01,7383684156.3248
2006-04-01,8009482351.661751
2006-05-01,8267134661.86669
2006-06-01,8403390705.17952
2006-07-01,8802550414.687561
2006-08-01,8581169929.33301
2006-09-01,8682032822.52723
2006-10-01,8347598534.391491
2006-11-01,8909097659.724169
2006-12-01,9359569041.39333
2007-01-01,8765597996.35434
2007-02-01,8834050673.139221
2007-03-01,9002146735.199339
2007-04-01,9248835613.163101
2007-05-01,9678719830.41147
2007-06-01,9597519679.24352
2007-07-01,9860005879.15507
2007-08-01,9244467849.153461
2007-09-01,9446847839.822279
2007-10-01,9781052181.59539
2007-11-01,9823592106.28549
2007-12-01,10656186261.706001
2008-01-01,11785001308.5694
2008-02-01,11343263534.5485
2008-03-01,12021172956.424
