DATE,XTEXVA01KRM667S
1990-01-01,4875863470.13584
1990-02-01,5412528131.28468
1990-03-01,5251258701.86055
1990-04-01,5085830454.064139
1990-05-01,5165346407.2752
1990-06-01,5343505009.97766
1990-07-01,5475286041.23604
1990-08-01,5591492963.93881
1990-09-01,5867735499.847871
1990-10-01,5161905888.36797
1990-11-01,5667840214.8883705
1990-12-01,6005611143.21549
1991-01-01,5635316995.675739
1991-02-01,5637718622.36576
1991-03-01,5698675880.597839
1991-04-01,5904822915.61749
1991-05-01,6169861400.341149
1991-06-01,6109686555.73452
1991-07-01,5727711272.13783
1991-08-01,5881947885.29015
1991-09-01,5685475555.77421
1991-10-01,6258554064.470301
1991-11-01,6431844504.85635
1991-12-01,6569645662.82152
1992-01-01,6527525233.45122
1992-02-01,5956148305.96644
1992-03-01,6334725171.561549
1992-04-01,6431546793.5122795
1992-05-01,6297500845.40812
1992-06-01,6544917015.84937
1992-07-01,6508753487.87284
1992-08-01,6421375722.22666
1992-09-01,6578858889.94578
1992-10-01,6758686224.71869
1992-11-01,6354279328.19174
1992-12-01,6071247933.14066
1993-01-01,6420023335.38445
1993-02-01,6810033367.82038
1993-03-01,6803993390.419741
1993-04-01,6783296544.96589
1993-05-01,6677451015.2931795
1993-06-01,6761950976.44804
1993-07-01,6822929708.33931
1993-08-01,6860027176.0396595
1993-09-01,7120664580.09973
1993-10-01,7130934980.592839
1993-11-01,7009033573.07316
1993-12-01,7119791991.64002
1994-01-01,7219958289.80036
1994-02-01,7121567505.145431
1994-03-01,7420857581.40238
1994-04-01,7705641717.018121
1994-05-01,7736153343.23327
1994-06-01,7782450806.90028
1994-07-01,7822375229.32542
1994-08-01,7976992865.75729
1994-09-01,8294746392.96021
1994-10-01,8419784361.73952
1994-11-01,8857502869.84953
1994-12-01,9411277368.4161
1995-01-01,9254052873.23419
1995-02-01,9540730891.645239
1995-03-01,9769870700.52516
1995-04-01,10138523372.1212
1995-05-01,10477549406.4441
1995-06-01,10558713935.1798
1995-07-01,10797021996.9028
1995-08-01,11185386950.559502
1995-09-01,10971079680.0294
1995-10-01,11032287618.584799
1995-11-01,10849272302.6246
1995-12-01,10631655996.3206
1996-01-01,11523400424.6431
1996-02-01,11315137813.424
1996-03-01,11203931779.7656
1996-04-01,10729277269.2503
1996-05-01,10958412309.7616
1996-06-01,10670158196.6206
1996-07-01,10229028787.545
1996-08-01,10162391117.4647
1996-09-01,10155085993.933802
1996-10-01,11168466904.3646
1996-11-01,10985143073.4536
1996-12-01,10930768157.1947
1997-01-01,10638480116.5906
1997-02-01,10476134649.335901
1997-03-01,10977643990.7348
1997-04-01,11338542123.8186
1997-05-01,11536989833.9835
1997-06-01,11701159043.1584
1997-07-01,12205430739.4529
1997-08-01,11602093058.0112
1997-09-01,11537676022.6444
1997-10-01,11744146771.9092
1997-11-01,11476846437.323801
1997-12-01,11059077588.1351
1998-01-01,10712145357.5523
1998-02-01,12227497299.128199
1998-03-01,11840994575.0616
1998-04-01,11804447895.272902
1998-05-01,11252742652.3526
1998-06-01,10839182224.1162
1998-07-01,10381964821.1964
1998-08-01,10266688866.8349
1998-09-01,10784420146.7996
1998-10-01,10257216180.690102
1998-11-01,11067589877.991299
1998-12-01,11405208847.386501
1999-01-01,10615776574.8224
1999-02-01,10390661992.6627
1999-03-01,11246033627.3229
1999-04-01,11452713664.5119
1999-05-01,11292023379.7573
1999-06-01,12172413919.489698
1999-07-01,12189905707.7063
1999-08-01,11916753489.4772
1999-09-01,12097085598.357698
1999-10-01,12877484186.1672
1999-11-01,13570273827.6598
1999-12-01,13815902398.577799
2000-01-01,13779162336.6881
2000-02-01,14018442487.2582
2000-03-01,13900821783.6938
2000-04-01,13589249287.8612
2000-05-01,14368597161.5821
2000-06-01,14679476239.8484
2000-07-01,14922051093.567299
2000-08-01,15493660103.0431
2000-09-01,15206017736.1632
2000-10-01,14669937202.7218
2000-11-01,14324624230.0368
2000-12-01,14041137429.2657
2001-01-01,14085617101.0783
2001-02-01,14726351672.4336
2001-03-01,13563300052.131
2001-04-01,12233472265.1978
2001-05-01,12994013276.289999
2001-06-01,12600081097.2668
2001-07-01,11698699280.2176
2001-08-01,12391082623.5112
2001-09-01,12375926475.726301
2001-10-01,11793198701.4506
2001-11-01,11670008308.9377
2001-12-01,11481654710.2652
